时间（年月）,大工业用电（kWh)   ,一般工商业用电及其他（kWh)      ,农业用电（kWh) ,居民用电 （kWh)     
2014.1,13888451,20728775,221814,11853334
2014.2,9523664,17987195,197046,10588201
2014.3,12348682,16952169,201793,11802661
2014.4,15304618,18588982,227849,9619821
2014.5,14429942,17535796,229444,8268161
2014.6,16238399,23090463,235813,9704550
2014.7,16092182,23459439,202242,9236755
2014.8,17727907,30288995,239718,13145495
2014.9,16152540,24977398,218528,11676406
2014.1,13732424,19381043,169788,8836227
2014.11,15870604,20554444,177454,9357084
2014.12,16907711,25221332,201845,11788755
2015.1,16924700,30271269,655196,26393234
2015.2,13511317,26646493,717138,25819716
2015.3,8647579,18143920,416493,18940741
2015.4,15917262,24412324,531550,19861243
2015.5,16145431,24550209,554451,16897878
2015.6,16817154,26715237,771479,17267434
2015.7,15342590,29437618,595337,20143625
2015.8,18120957,37865442,709718,28321757
2015.9,17154918,32309518,663145,27601618
2015.1,15041216,25106861,561377,18770476
2015.11,16286882,26552469,451335,19159301
2015.12,15868944,29957426,430559,22043115
2016.1,13340754,22197589,546535,35115675
2016.2,9242188,28300488,594966,36910865
2016.3,14340754,26197589,446535,25115675
2016.4,16848775,28617318,539760,24916728
2016.5,15692311,27656771,524909,21608240
2016.6,17027322,31564702,555126,22644039
2016.7,19242640,41352358,673243,28752637
2016.8,21738419,51597233,865058,49598601
2016.9,12257919,31528153,823124,44808937
2016.10,15887170,29425460,506875,22863598
2016.11,17629530,30765253,413959,23934439
2016.12,17962809,36331580,437726,29574085
2017.1,18375324,39610583,525526,36595909
2017.2,8916484,28104614,478644,35727061
2017.3,8755461,11147530,454107,34536575
2017.4,9355461,26816617,484524,33221288
2017.5,9036354,26375062,469443,25173664
2017.6,9964850,30336388,572741,28454399
2017.7,11176074,38785593,596957,31478274
2017.8,12251251,51200555,1023012,71007264
2017.9,9027384,35620966,906484,61495344
2017.10,8640941,28750344,609928,32378703
2017.11,9500641,28473301,505211,28899834
2017.12,11458946,40865298,648026,36637650
2018.1,20570340,54684085,850360,52507100
2018.2,14488497,49690607,967905,63406284
2018.3,12372681,33880721,504713,45919670
2018.4,567124,32011400,471756,30789229
2018.5,5835085,31878459,486519,32752599
2018.6,10096358,38855417,516137,38474874
,,,,
,,,,
,,,,
