SALES_DATE,HOUSE_Application,ENT_SALES_COUNT_YYYY_MM,ENT__SALES_AREA_YYYY_MM
2014/01,0,1376,201106.36
2014/01,1,1,128.42
2014/01,3,4,471.78
2014/02,0,330,34266.76
2014/03,1,13,2668.35
2014/03,0,452,48249.26
2014/04,0,1357,194833.73
2014/04,1,11,2221.19
2014/04,3,82,10418.39
2014/05,1,4,964.31
2014/05,3,69,4439.88
2014/05,0,1537,208847.28
2014/06,0,602,72402.9
2014/06,3,4,305.42
2014/07,1,11,1398.86
2014/07,0,632,80812.02
2014/08,0,1565,177216.68
2014/08,3,1,137.26
2014/08,1,3,239.2
2014/09,3,1,158.99
2014/09,0,1288,153279.5
2014/09,1,3,630.54
2014/10,1,4,403.94
2014/10,0,1456,185889.11
2014/11,3,58,3140.01
2014/11,0,1593,206814.78
2014/11,1,4,286.16
2014/12,3,2,240.08
2014/12,1,4,264.92
2014/12,0,1490,204837.3
2015/01,1,2,324.58
2015/01,0,783,105910.02
2015/02,0,326,38874.08
2015/02,3,4,442.04
2015/03,1,3,75.51
2015/03,0,636,78767.43
2015/03,2,46,2329.28
2015/04,0,1256,147725.09
2015/04,2,7,507.63
2015/04,3,1,45.19
2015/05,1,2,485.7
2015/05,0,2171,247039.21
2015/05,2,1,49.83
2015/05,3,1,196.56
2015/06,2,16,958.76
2015/06,0,1351,163583.33
2015/07,1,1,51.96
2015/07,3,10,1200.76
2015/07,0,1008,125486.04
2015/07,2,527,28075.98
2015/08,2,76,3910.64
2015/08,0,990,117803.86
2015/09,2,226,11750.28
2015/09,0,1289,147094.73
2015/09,1,1,51.96
2015/10,0,1367,152995.16
2015/10,1,2,490.28
2015/10,2,78,4139.1
2015/10,3,1,116.11
2015/11,0,1301,156396.42
2015/11,1,2,653.42
2015/11,2,168,8908.44
2015/12,0,1458,188503.95
2015/12,2,86,4573.55
2016/01,1,2,229.64
2016/01,3,6,153.84
2016/01,0,1052,126030.46
2016/01,2,249,17325.92
2016/02,0,713,77810.21
2016/02,2,31,2026.5
2016/02,3,9,318.03
2016/03,3,14,971.16
2016/03,0,3950,423795.73
2016/03,1,4,148.14
2016/03,2,75,4820.81
2016/04,3,39,4604.4
2016/04,1,16,5202.09
2016/04,2,27,1745.83
2016/04,0,2770,323710.34
2016/05,3,29,3255.61
2016/05,2,133,6773.33
2016/05,0,2536,293217.98
2016/06,1,6,960.62
2016/06,3,19,1309.78
2016/06,2,386,18033.91
2016/06,0,1855,219163.23
2016/07,2,834,37219.84
2016/07,3,19,2285.27
2016/07,0,2304,257168.05
2016/08,2,1151,54659.37
2016/08,0,2102,247394.35
2016/08,1,8,746.1
2016/08,3,13,1560.05
2016/09,3,10,1279.88
2016/09,1,1,290.18
2016/09,2,721,35367.91
2016/09,0,2352,330846.66
2016/10,2,897,42274.73
2016/10,3,8,750.72
2016/10,0,1729,242628.92
2016/10,1,5,510.56
2016/11,2,312,13806.96
2016/11,1,1,343.26
2016/11,3,12,1170.48
2016/11,0,557,78814.88
2016/12,1,12,1191.6
2016/12,0,661,79514.84
2016/12,2,427,19162.4
2016/12,3,10,1042.32
2017/01,0,422,56827.67
2017/01,1,54,6881.05
2017/01,2,348,15693.95
2017/01,3,2,147.64
2017/02,0,353,55353.26
2017/02,2,282,12724.9
2017/02,1,4,704.26
2017/03,3,3,414.33
2017/03,1,5,565.41
2017/03,2,1658,77865.13
2017/03,0,1869,225190.66
2017/04,3,3,122.92
2017/04,0,1150,145556.74
2017/04,2,1056,50444.03
2017/04,1,5,545.07
2017/05,1,28,5199.12
2017/05,0,1099,154964.84
2017/05,3,3,796.56
2017/05,2,464,21514.65
2017/06,3,15,1939.47
2017/06,1,22,4162.23
2017/06,0,3472,422378.9
2017/06,2,214,11469.06
2017/07,2,618,47354.9
2017/07,0,3119,359242.6
2017/07,3,1,264.5
2017/07,1,25,5682.6
2017/08,1,30,3557.13
2017/08,2,500,34622.14
2017/08,0,1398,184186.72
2017/08,3,2,221.02
2017/09,2,416,26270.62
2017/09,0,1266,141800.17
2017/09,1,20,2032.52
2017/10,0,1726,202536.42
2017/10,1,16,1416.96
2017/10,2,282,23027.32
2017/10,3,7,358.57
2017/11,1,20,2311.73
2017/11,2,109,6649.7
2017/11,0,917,113571.14
2017/12,1,17,4645.86
2017/12,2,62,5676.84
2017/12,0,1252,148767.68
2018/01,2,48,4442.95
2018/01,0,2639,303777.85
2018/01,1,13,1697.6
2018/01,3,39,19607.35
2018/02,3,2,338.44
2018/02,1,2,405.71
2018/02,0,865,105203.4
2018/02,2,23,1161.49
2018/03,3,2,106.72
2018/03,1,7,1005.12
2018/03,2,71,3829.79
2018/03,0,1949,223770.43
2018/04,0,848,120837.68
2018/04,1,56,9771.36
2018/04,3,553,24148.95
2018/04,2,103,12101.36
2018/05,2,209,12462.05
2018/05,3,31,2605.59
2018/05,0,1076,146435.74
2018/05,1,18,3036.14
2018/06,1,25,3408.58
2018/06,3,7,973.92
2018/06,0,1440,175633.62
2018/06,2,35,4141.73
